Myall Lakes,,Tomago,
SVL (mm),Sex,SVL (mm),Sex
33,M,33,M
32,M,33,M
33,F,35,F
31,M,32,M
32,F,31,F
62,F,32,F
67,F,35,M
30,M,41,M
30,M,30,F
33,M,31,F
62,F,33,F
70,M,35,F
40,M,37,M
68,F,40,M
30,F,38,F
32,M,39,F
33,M,57,F
39,M,71,F
35,F,36,F
36,M,37,F
36,F,42,F
43,M,36,F
46,M,36,F
33,F,40,M
35,F,40,F
34,F,41,M
34,M,42,M
33,M,42,M
36,F,35,F
36,M,34,M
69,M,36,M
32,M,36,M
37,M,44,M
35,M,32,F
37,M,33,F
37,M,66,F
47,F,32,F
34,M,34,F
66,M,40,F
34,F,33,F
